City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Emirdag,TR,39.0197,31.15,52.3,44,0,6.89,clear sky
265,Khash,IR,28.2211,61.2158,53.56,35,0,5.55,clear sky
266,Dwarka,IN,22.2394,68.9678,70.34,49,0,14.72,clear sky
267,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,20,8.05,few clouds
268,Mezhdurechensk,RU,53.6942,88.0603,28.13,97,100,2.46,overcast clouds
269,Mandalgovi,MN,45.7625,106.2708,6.69,85,66,6.89,broken clouds
270,Ayagoz,KZ,47.9714,80.4392,18.39,90,0,2.28,clear sky
271,Nanchang,CN,28.6833,115.8833,54.05,84,0,1.61,clear sky
272,Huarmey,PE,-10.0681,-78.1522,75.56,65,90,9.06,overcast clouds
273,Mineral Wells,US,32.8085,-98.1128,53.01,81,90,11.5,overcast clouds
274,Esperance,AU,-33.8667,121.9,60.8,82,90,11.5,overcast clouds
275,Port-Gentil,GA,-0.7193,8.7815,84.2,79,40,11.5,scattered clouds
276,Lakatoro,VU,-16.0999,167.4164,78.69,77,7,3.65,clear sky
277,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,59,20,24.16,few clouds
278,Santa Maria,BR,-29.6842,-53.8069,73.4,60,40,4.61,scattered clouds
279,Morros,BR,-9.4467,-46.3003,71.78,93,100,4.68,overcast clouds
280,Mazatlan,MX,23.2167,-106.4167,66.0,94,90,3.44,mist
281,Kisangani,CD,0.5167,25.2,83.89,48,7,0.81,clear sky
282,Kanpur,IN,26.4667,80.35,60.8,77,0,4.61,haze
283,Codrington,AU,-38.2667,141.9667,59.23,79,98,15.35,overcast clouds
284,Pevek,RU,69.7008,170.3133,-1.84,86,100,1.32,overcast clouds
285,Meulaboh,ID,4.1363,96.1285,80.01,80,54,3.51,broken clouds
286,Oranjemund,NA,-28.55,16.4333,69.13,73,0,20.07,clear sky
287,Mitchell,US,43.7094,-98.0298,1.4,66,20,18.41,few clouds
288,Poum,NC,-20.2333,164.0167,79.84,67,15,2.95,few clouds
289,Saint-Denis,FR,48.9167,2.3333,46.99,93,90,8.05,mist
290,Great Yarmouth,GB,52.6083,1.7305,41.0,100,90,19.57,mist
291,Tura,IN,25.5198,90.2201,57.87,69,38,3.78,scattered clouds
292,Kahului,US,20.8947,-156.47,62.6,72,75,3.44,broken clouds
293,Rio Gallegos,AR,-51.6226,-69.2181,57.2,35,20,18.41,few clouds
294,Grants Pass,US,42.439,-123.3284,37.0,100,90,1.34,fog
295,Butterworth,MY,5.3991,100.3638,86.0,70,20,3.44,few clouds
296,Matagami,CA,49.7502,-77.6328,14.0,79,90,5.75,light snow
297,San Patricio,US,28.017,-97.5169,62.6,88,90,5.75,mist
298,Ulladulla,AU,-35.35,150.4667,68.0,88,0,6.91,clear sky
299,Eureka,US,40.8021,-124.1637,45.0,92,0,3.42,clear sky
300,Am Timan,TD,11.0297,20.2827,89.56,12,41,6.35,scattered clouds
301,Price,US,39.5994,-110.8107,30.2,51,1,9.22,clear sky
302,Nanortalik,GL,60.1432,-45.2371,24.35,79,0,4.09,clear sky
303,Peleduy,RU,59.6289,112.7406,3.6,92,100,4.94,overcast clouds
304,Miquelon,PM,47.0975,-56.3814,35.6,93,90,23.02,light rain
305,Port Augusta,AU,-32.5,137.7667,68.0,68,90,11.5,overcast clouds
306,Coihaique,CL,-45.5752,-72.0662,64.4,52,0,9.22,clear sky
307,Tiznit,MA,29.5833,-9.5,52.75,65,96,15.21,overcast clouds
308,Tapes,BR,-30.6733,-51.3958,76.84,56,76,5.66,broken clouds
309,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,88.7,38,7,4.47,clear sky
310,Santa Rosa,PH,14.3122,121.1114,79.0,78,75,4.61,broken clouds
311,Menongue,AO,-14.6585,17.691,78.89,68,100,1.86,light rain
312,Cap Malheureux,MU,-19.9842,57.6142,80.01,77,53,4.0,broken clouds
313,Gazli,UZ,40.1333,63.45,49.95,72,100,2.71,overcast clouds
314,Pontivy,FR,48.0,-3.0,51.01,53,40,11.5,scattered clouds
315,Pouso Alegre,BR,-22.23,-45.9364,76.15,81,11,6.35,few clouds
316,Anadyr,RU,64.75,177.4833,-7.01,77,0,8.95,clear sky
317,Ladario,BR,-19.0047,-57.6017,82.4,57,75,5.75,broken clouds
318,Haapiti,PF,-17.5667,-149.8667,78.01,73,75,5.75,moderate rain
319,Kiruna,SE,67.8557,20.2251,8.6,92,82,5.7,broken clouds
320,Neosho,US,36.869,-94.368,37.99,65,100,4.36,overcast clouds
321,Clyde River,CA,70.4692,-68.5914,-14.8,76,40,3.44,scattered clouds
322,Inta,RU,66.0317,60.1659,-28.95,85,66,11.18,broken clouds
323,Soe,ID,-9.8607,124.284,66.56,99,90,3.56,overcast clouds
324,Nhulunbuy,AU,-12.2333,136.7667,80.6,83,75,11.5,broken clouds
325,Murgab,TM,37.4966,61.9714,53.6,58,90,11.5,overcast clouds
