City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Mar Del Plata,AR,2021-02-03 02:25:22,-38.0023,-57.5575,66.99,88,75,5.75
161,Ayr,GB,2021-02-03 02:25:22,55.4627,-4.6339,37.4,87,75,17.27
162,Tyristrand,NO,2021-02-03 02:25:22,60.0837,10.0966,19.0,94,100,4.27
163,Calama,CL,2021-02-03 02:25:22,-22.4667,-68.9333,60.8,23,0,17.27
164,Bandarbeyla,SO,2021-02-03 02:25:23,9.4942,50.8122,70.72,74,82,13.71
165,Narsaq,GL,2021-02-03 02:25:23,60.9167,-46.05,19.4,53,75,2.3
166,Saskylakh,RU,2021-02-03 02:25:23,71.9167,114.0833,-2.52,91,100,13.06
167,Pundaguitan,PH,2021-02-03 02:25:23,6.3711,126.1689,81.12,74,29,9.69
168,Vardo,NO,2021-02-03 02:25:23,70.3705,31.1107,25.29,92,98,23.64
169,Faya,SA,2021-02-03 02:25:23,18.3851,42.4509,55.4,41,0,2.68
170,Sekoma,BW,2021-02-03 02:25:24,-24.4,23.8833,65.26,89,100,16.37
171,Kalmunai,LK,2021-02-03 02:25:24,7.4167,81.8167,77.56,85,100,13.73
172,Ponta Do Sol,PT,2021-02-03 02:25:24,32.6667,-17.1,60.01,77,26,1.01
173,Pirovskoye,RU,2021-02-03 02:25:24,57.6267,92.2658,10.15,95,100,6.55
174,Upernavik,GL,2021-02-03 02:25:24,72.7868,-56.1549,-7.51,86,100,4.72
175,Marsa Matruh,EG,2021-02-03 02:25:25,31.3525,27.2453,59.0,88,40,9.22
176,The Valley,AI,2021-02-03 02:25:25,18.217,-63.0578,78.8,69,20,8.05
177,Belaya Gora,RU,2021-02-03 02:25:25,68.5333,146.4167,-26.19,85,12,2.33
178,Umm Lajj,SA,2021-02-03 02:25:25,25.0213,37.2685,73.24,84,18,7.49
179,Souillac,MU,2021-02-03 02:23:22,-20.5167,57.5167,78.8,83,75,8.05
180,Turkmenabat,TM,2021-02-03 02:25:25,39.0733,63.5786,30.2,100,90,2.3
